Study,Spatial_block_of_pot,Replicate,Position_within_pot_or_block,Radius_from_buffel_adult,Treatment_level,delta_13_C,delta_15_N
2013,1,1,b,1,Buffel,-25.3,3.8
2013,1,1,a,2,Buffel,-26,4.9
2013,1,1,b,2,Buffel,-26.6,4.3
2013,1,1,d,2,Buffel,-25.9,5.3
2013,1,1,d,3,Buffel,-25,5.4
2013,1,1,e,3,Buffel,-25.6,4.3
2013,1,1,c,4,Buffel,-26.3,6.4
2013,1,1,e,4,Buffel,-26.3,5.5
2013,2,4,c,1,Buffel,-25.3,3.3
2013,2,4,e,1,Buffel,-26.1,6.7
2013,2,4,a,2,Buffel,-25.8,6.4
2013,2,4,e,2,Buffel,-25.9,4
2013,2,4,c,3,Buffel,-25.8,6
2013,2,4,d,3,Buffel,-24.6,4.1
2013,2,4,c,4,Buffel,-24.4,3.8
2013,2,4,f,4,Buffel,-26.7,4.5
2013,3,7,a,1,Buffel,-26.5,3
2013,3,7,d,1,Buffel,-25.5,4.9
2013,3,7,c,2,Buffel,-28.3,3.7
2013,3,7,e,2,Buffel,-27.4,4.5
2013,3,7,e,3,Buffel,-27.1,5.7
2013,3,7,f,3,Buffel,-28,5.6
2013,3,7,c,4,Buffel,-26.4,4
2013,3,7,f,4,Buffel,-26.4,2.5
2013,4,11,b,1,Buffel,-24.6,3.5
2013,4,11,d,1,Buffel,-24.6,3.7
2013,4,11,a,2,Buffel,-24.7,4.5
2013,4,11,d,2,Buffel,-25.4,3.3
2013,4,11,a,3,Buffel,-25.7,4.7
2013,4,11,e,3,Buffel,-25.9,4.2
2013,4,11,c,4,Buffel,-24.4,3.2
2013,4,11,e,4,Buffel,-25.3,3.2
2013,5,15,a,1,Buffel,-26.8,3.1
2013,5,15,d,1,Buffel,-26.7,3
2013,5,15,c,2,Buffel,-26.1,5.1
2013,5,15,f,2,Buffel,-25.7,5.9
2013,5,15,e,3,Buffel,-25.1,3.8
2013,5,15,f,3,Buffel,-25.3,4.3
2013,5,15,c,4,Buffel,-25.6,5
2013,5,15,e,4,Buffel,-24.8,3.3
2013,6,18,b,1,Buffel,-24.7,3.3
2013,6,18,e,1,Buffel,-24.2,5.3
2013,6,18,b,2,Buffel,-25.3,4.5
2013,6,18,c,2,Buffel,-25.2,5.3
2013,6,18,d,3,Buffel,-25.3,3.7
2013,6,18,e,3,Buffel,-24.2,5.2
2013,6,18,b,4,Buffel,-25,5.5
2013,6,18,c,4,Buffel,-25.2,5.4
2015,1,1,B,0,Buffel,-23.9,8.9
2015,2,2,B,0,Buffel,-24.2,6.1
2015,3,3,B,0,Buffel,-24.9,7.6
2015,4,4,B,0,Buffel,-24.6,2.9
2015,5,5,B,0,Buffel,-25.4,3.5
2015,6,6,B,0,Buffel,-20.1,5
2015,7,7,B,0,Buffel,-24.1,8.5
2015,8,8,B,0,Buffel,-25.5,4.5
2015,9,9,B,0,Buffel,-25.1,5.8
2015,10,10,B,0,Buffel,-25.8,3.9
2015,11,11,B,0,Buffel,-26.1,5.6
2015,12,12,B,0,Buffel,-23.7,4.3
2015,13,13,B,0,Buffel,-23,8
2015,14,14,B,0,Buffel,-24.5,3.5
2015,15,15,B,0,Buffel,-23.7,4.5
2015,16,16,B,0,Buffel,-23.1,7.4
2015,17,17,B,0,Buffel,-25.1,4.2
2015,18,18,B,0,Buffel,-24.9,5.5
2015,19,19,B,0,Buffel,-23.1,2.7
2015,20,20,B,0,Buffel,-25.5,4.2
2015,21,21,B,0,Buffel,-25.4,4.4
2015,22,22,B,0,Buffel,-25.3,4.4
2015,23,23,B,0,Buffel,-25.2,4.3
2015,24,24,B,0,Buffel,-25.5,6.6
2015,25,25,B,0,Buffel,-23.7,3.6
2015,26,26,B,0,Buffel,-24.4,4.6
2015,27,27,B,0,Buffel,-26.5,3.7
2015,28,28,B,0,Buffel,-24.7,5
2015,29,29,B,0,Buffel,-24.5,3.3
2015,30,30,B,0,Buffel,-24.5,4.8
2015,31,31,B,0,Buffel,-24.4,5.5
2015,32,32,B,0,Buffel,-25.5,3.7
2013,1,3,e,1,Control,-27.4,6.9
2013,1,3,f,1,Control,-27.3,7.3
2013,1,3,c,2,Control,-27.8,5.2
2013,1,3,f,2,Control,-27.3,7.3
2013,1,3,a,3,Control,-28.1,5.7
2013,1,3,f,3,Control,-28.5,6.4
2013,1,3,a,4,Control,-28.1,5.2
2013,1,3,f,4,Control,-28.7,5.7
2013,2,6,e,1,Control,-27,4
2013,2,6,f,1,Control,-26.5,6.5
2013,2,6,a,2,Control,-26.4,5.6
2013,2,6,b,2,Control,-27.1,5.7
2013,2,6,a,3,Control,-26.5,5.8
2013,2,6,d,3,Control,-26.1,6.9
2013,2,6,d,4,Control,-27.1,5.9
2013,2,6,f,4,Control,-27.5,6.1
2013,3,9,a,1,Control,-27.9,5.1
2013,3,9,f,1,Control,-25.8,6.5
2013,3,9,a,2,Control,-27.2,5.6
2013,3,9,e,2,Control,-27,6
2013,3,9,a,3,Control,-26.7,7.5
2013,3,9,e,3,Control,-26.2,6.4
2013,3,9,a,4,Control,-27.2,5.1
2013,3,9,f,4,Control,-27.7,5.7
2013,4,12,d,1,Control,-27.6,6.7
2013,4,12,e,1,Control,-27.5,7.7
2013,4,12,a,2,Control,-26.7,6.6
2013,4,12,f,2,Control,-26.9,7.6
2013,4,12,c,3,Control,-25.9,6.7
2013,4,12,d,3,Control,-26.6,7.3
2013,4,12,b,4,Control,-27.3,6.7
2013,4,12,d,4,Control,-27.4,6.2
2013,5,14,c,1,Control,-27.4,6.4
2013,5,14,d,1,Control,-25.2,6
2013,5,14,b,2,Control,-26.3,7
2013,5,14,e,2,Control,-27.3,7.1
2013,5,14,a,3,Control,-26.5,5
2013,5,14,b,3,Control,-25.9,6.1
2013,5,14,a,4,Control,-24.3,5.4
2013,5,14,d,4,Control,-26.5,6.5
2013,6,17,a,1,Control,-27.1,4.5
2013,6,17,c,1,Control,-26.4,5.4
2013,6,17,a,2,Control,-24.9,4.2
2013,6,17,c,2,Control,-26,5.7
2013,6,17,d,2,Control,-27.1,4.6
2013,6,17,b,3,Control,-25,4.4
2013,6,17,a,4,Control,-25.5,4.8
2013,6,17,b,4,Control,-25.5,4.8
2015,1,1,C,0,Control,-23.8,7.2
2015,2,2,C,0,Control,-26.3,4.8
2015,3,3,C,0,Control,-26.8,5.6
2015,4,4,C,0,Control,-26.8,3.5
2015,5,5,C,0,Control,-26.8,4.5
2015,6,6,C,0,Control,-27.4,4.5
2015,7,7,C,0,Control,-26.3,4
2015,8,8,C,0,Control,-26.6,6.1
2015,9,9,C,0,Control,-26.9,6.3
2015,10,10,C,0,Control,-26.2,3.5
2015,11,11,C,0,Control,-26.5,4.1
2015,12,12,C,0,Control,-26.7,4
2015,13,13,C,0,Control,-23.5,5.4
2015,14,14,C,0,Control,-26,2.9
2015,15,15,C,0,Control,-24,4.7
2015,16,16,C,0,Control,-25.6,6.7
2015,17,17,C,0,Control,-24.9,3.7
2015,18,18,C,0,Control,-25.5,5
2015,19,19,C,0,Control,-25.8,3.9
2015,20,20,C,0,Control,-25.8,4.8
2015,21,21,C,0,Control,-25.1,3.8
2015,22,22,C,0,Control,-27.6,4.3
2015,23,23,C,0,Control,-25.4,5.5
2015,24,24,C,0,Control,-25.2,5.6
2015,25,25,C,0,Control,-25.3,5.1
2015,26,26,C,0,Control,-27,6
2015,27,27,C,0,Control,-26.9,5.2
2015,28,28,C,0,Control,-27,6.1
2015,29,29,C,0,Control,-26.2,6.7
2015,30,30,C,0,Control,-26.2,5.5
2015,31,31,C,0,Control,-26.6,4.3
2015,32,32,C,0,Control,-26.4,6.2
